client_id,target_visit
0,0
1,0
2,0
3,0
4,0
6,1
7,0
8,1
9,1
10,1
11,1
12,0
13,1
14,1
16,1
17,1
18,1
19,0
20,1
21,1
22,1
23,0
24,0
25,1
26,1
27,1
29,1
30,1
31,1
32,1
34,0
35,1
36,0
37,1
38,1
39,1
40,1
41,0
42,0
43,1
44,0
45,1
46,0
47,1
48,1
49,1
50,0
51,0
52,1
53,0
54,1
55,1
56,1
57,1
58,1
59,1
60,0
61,1
62,1
64,1
65,1
66,1
67,1
68,1
69,1
70,0
71,1
74,1
76,1
77,1
78,0
80,0
81,1
82,1
84,1
85,0
86,0
87,1
89,0
90,1
91,0
92,1
93,0
94,1
95,0
97,0
98,1
99,0
100,1
101,1
103,1
104,1
105,0
106,0
108,1
110,1
111,0
112,1
113,1
114,1
115,0
116,0
117,0
118,1
119,1
120,1
121,1
122,0
123,1
124,0
125,1
126,0
127,1
128,1
129,1
130,0
131,0
132,1
133,1
134,1
135,1
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,0
144,1
146,0
147,0
148,1
149,1
151,0
152,0
153,1
154,1
155,1
156,0
157,1
158,0
159,1
160,1
161,1
162,1
163,0
164,1
165,0
166,0
167,1
168,1
169,1
170,1
172,0
173,0
174,0
175,1
176,1
178,1
180,1
181,0
182,1
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,0
191,0
192,1
194,0
195,0
196,1
197,1
198,1
199,0
200,1
201,0
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,0
210,1
212,1
213,1
214,1
215,0
217,0
218,1
219,1
220,0
221,1
222,1
223,1
224,1
225,1
226,0
227,1
228,0
229,1
230,0
231,1
232,1
233,1
234,0
235,1
236,1
237,1
238,0
239,0
240,1
241,1
242,1
243,1
244,0
245,0
247,1
248,1
249,1
250,0
251,0
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,0
269,1
270,1
271,1
272,1
274,0
275,0
276,0
277,1
278,0
279,0
280,1
282,0
283,1
284,1
286,0
287,1
288,0
290,0
291,1
293,1
294,0
295,1
296,1
297,1
298,1
299,0
300,0
301,1
302,1
303,0
304,1
305,0
306,1
307,1
308,0
309,0
310,0
311,1
312,1
313,1
314,1
315,0
317,1
318,1
319,1
320,0
322,1
323,0
324,0
326,1
327,1
328,1
329,1
330,0
331,0
332,0
333,0
334,1
335,0
336,1
338,1
339,1
340,0
341,1
342,0
343,0
344,1
345,1
347,0
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,1
358,0
359,0
360,0
361,0
363,0
364,0
365,1
366,0
367,1
368,1
369,1
370,1
371,0
373,0
374,1
375,1
376,1
378,1
379,0
380,1
381,1
382,0
383,0
384,0
385,1
386,0
387,0
388,1
389,1
390,1
391,0
393,1
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,1
402,0
403,0
404,1
405,1
406,1
407,1
408,0
410,0
411,1
412,0
413,0
414,1
415,0
416,1
418,0
419,1
420,0
421,0
423,0
424,0
425,1
426,1
428,1
429,1
430,0
431,0
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,0
441,0
442,1
443,0
444,1
445,1
446,0
447,0
449,1
450,1
451,1
452,0
453,0
454,0
455,1
456,0
457,1
458,1
459,0
460,0
461,1
462,0
463,1
464,1
465,0
466,0
467,0
468,1
469,1
470,0
472,0
473,0
475,1
476,0
477,0
478,1
479,1
480,0
483,0
484,0
485,1
486,0
487,1
488,1
489,1
490,0
492,1
493,1
495,0
496,1
497,1
498,1
499,1
500,1
501,1
502,0
504,1
506,0
507,0
508,1
509,1
510,1
511,1
512,1
513,0
514,0
515,1
516,0
518,1
519,0
520,1
521,1
522,1
523,0
525,0
526,0
527,0
528,0
529,0
530,1
531,1
532,1
533,1
534,0
535,0
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,0
544,0
545,1
546,0
547,0
548,0
549,0
550,1
551,1
552,1
553,0
554,1
555,1
556,0
557,1
558,1
559,0
560,1
561,1
562,0
563,0
564,0
565,1
568,1
569,0
571,1
572,1
573,1
574,0
575,1
576,1
578,1
579,1
580,0
581,1
582,0
583,1
584,0
586,0
587,0
588,1
589,0
590,1
591,1
